id,monster,scenario,slot,role,text,weight,tags
hruz.claw.sound.06,hruz,claw,sound,core,"Из панциря вырывается шипение — резкое, на выдохе.",10,sound
hruz.roar.gear.04,hruz,roar,gear,core,"Он широко зевает и сплёвывает вязкую слюну на гальку.",10,recover
hruz.roar.gear.05,hruz,roar,gear,core,"Челюсти разжимаются в долгом зевке, клешня опускается.",10,recover
hruz.roar.gear.06,hruz,roar,gear,core,"Хруз отплёвывается и переводит дыхание, опустив клешню к воде.",10,recover
hruz.decoy.pounce.gaze.04,hruz,pounce,gaze,decoy,"Он замирает и смотрит мимо тебя, в воду.",10,decoy
hruz.decoy.pounce.gaze.05,hruz,pounce,gaze,decoy,"Мутный глаз зверя не двигается, будто ему всё равно.",10,decoy
hruz.decoy.pounce.gaze.06,hruz,pounce,gaze,decoy,"Хруз переводит взгляд в никуда и держит его там.",10,decoy
hruz.decoy.claw.env.04,hruz,claw,environment,decoy,"Галька под ним поскрипывает и оседает.",10,decoy
hruz.decoy.claw.env.05,hruz,claw,environment,decoy,"Ветер несёт с воды запах тины и мокрого камня.",10,decoy
hruz.decoy.claw.env.06,hruz,claw,environment,decoy,"Пена у кромки лопается и шипит сама по себе.",10,decoy
hruz.decoy.roar.gaze.04,hruz,roar,gaze,decoy,"Он щурится, будто дремлет на солнце.",10,decoy
hruz.decoy.roar.gaze.05,hruz,roar,gaze,decoy,"Веки опускаются тяжело, как у старого зверя.",10,decoy
hruz.decoy.roar.gaze.06,hruz,roar,gaze,decoy,"Глаз стекленеет и не следит за тобой.",10,decoy
